en_phrases
"Motijheel Govt. Boys' School field, "
"Betmore Rajpara, "
"Union CNG, "
"Kadamtoli Uttarpara Jame Masjid, "
"Satrong Boutique, "
"Dhaka Bekary, "
Bridge near Kudghata Bazar 16 Hat
"Gurpipul Community Clinic, "
"Dhaka biriany House, "
"Angina Medicine Corner, "
"Uttar Banishanta Sree Sree Kali Mondir, "
"IBBL ATM BOOTH, "
"Jorshing Al Arafa Jame Masjid, "
"Milton vila, "
Shishupark Road
"Barguna Launch Terminal, "
"Dhaka Tannery Market, "
Miah Sawdagar Pool
"Barguna Government Girls' College, "
"Hatibandha Maljhibandha, "
"Hazi Mohammad Mohsin Government High School, "
"Mosque Of Jomir Uddin Haji House, "
"Uzirpur Model Thana, "
"Mithun Electronics, "
"Rudaghara, "
"Holhaliya Purbo Para Jami Mosque, "
"Rowail, "
"Shah Saheb Gate Jam-e Masjid, "
"Abdul Rahman, "
"Padmapukur Baitus Salam Jame Mosque, "
Packhali Khaler Shako
"Rupali Bank Ltd. lichubagan branch ctg, "
"Siraj ud-Daulah Hall, "
"Natun Bazar Jame Masjid, "
"Al-haz Nurul Islam Molla Shopping Complex, "
"Tube welk of Miji house, "
"Moon Diagonestics, "
"Vasani College, "
"Adinath Temple, "
Sylhet - Moulvibazar Road
"Sehrab Enterprise, "
"Kalihati Upazila Health Complex, "
"khan bari, "
"Tushar Pharma, "
"Jahed Cycle Store, "
"Scholastica Senior Campus Mirpur, "
"06 No. Uttor Char Algee Govt. Primary School, "
"Bag & Abdullah, "
Asim Palowaner Barir Samner Sako
Road 21
"DSK Area Office, "
Prodhan Bari Road
Royal Morh
Bag Potti
"Hotel Siesta, "
"New Market Public Toilet, "
"Time Video, "
"Trimohoni Bazar, "
"Kashem General Store, "
"Saleha Kutir, "
"Holcim Cement Bangladesh Limited, "
"Surjer Hashi Clinic, "
Line-23
"Sristytola Jame Mosque, "
"Nagura - Subidpur Road, "
re
"Harbang Bazar Mosque, "
"Josna Mobile & Sound System, "
"Hashemi Store, "
"Swiss Bakery, "
"Saptadinga Filling Station, "
"Basket Ball Ground, "
"Dinanat Sen Road, "
"Rasheda Manjil, "
Patla khan Lane
"Bokul Store, "
"Bairagibazar, "
"Brajar pur durga Temple, "
"BAJAJ CONNECTION, "
"Shapon Kutir, "
Goni Bakery to Chandanpura Cross over
"Campus Cafe, "
"Rani villa, "
"Cosy Corner Saloon, "
"Durlavpur Eidgah, "
"Pretty Mohol, "
"Hotel Saudia, "
"Cafe 0 Point, "
Hoseny Gonj Road
Kamalapur Station Overbridge bus stand
"Bhuyan Bazar Eidgah, "
"New Tangail Bostraloy, "
"Badarkhali, "
"Kalam Medical, "
"Ming Beauty Parlours, "
"Sky Shop BD, "
"Darul Quran Model Madrassa, "
"City Club Grounds, "
"Shuvo Drug House, "
Wheel Chair Access
"Barakah Homio Centre, "
Kazi Bari RD
"Birshreshtha Munshi Abdur Rouf Public College, "
"Housing and sttelment public school playgorund, "
"A part of Khayer hat bazar, "
"Ayurvedi Daowa Khana, "
"Good Electronics, "
Holhaliya Purbo Para Gram r Rasta
Kholamora - Bhrammonkitta - Nekrojbagh Road
"GP House GrameenPhone, "
"Minar Hossan, "
"Kayna School, "
"Mahmudabad Road, "
"Cattle Market, "
Sommiloni Ali Road
"Goalpara, "
"National bank and Asa NGO, "
"Ruki Medical, "
"Netrokona District Bus Station, "
West Sharliya Borokhal Kheya Ghat Theke Fazlu Chaprashir Barir road
"Suhagi Battery House, "
"Balaghata Bilkich Begum High School, "
"Bera Upazila Mosque, "
"Electro Mart Limited, "
Pathbari Road
"Equity Anindita, "
"Ma Shari Ghor, "
"Rashidpur Condensate Fractionation Plant, "
"Tota Mia, "
"Campus Computer, "
"Lalmatia Jamia Madrasha, "
"varot sheba asroy moth, "
Kazir Hat bridge
Vuiya Barir Kather Pul
"Tejgaon Registration Complex Jaame Mosque, "
"Messrs A. Kaiyum Enterprise, "
"Paikan Bazar, "
"Singer Kach Pharmacy, "
"Aabsi Tours & Travel, "
"Halimabad Super Market, "
Jalalpur Bus Station
"Shelter CPP, "
"Mesars Shatota Vander, "
Central Mosque Road
"Alnur Mosque, "
"Kazi Bari Jame Mosjid, "
"Kazi Farm, "
"Baitur nur Villa, "
"Magura Binod, "
Nowakhalir goli Alauddin der goli
Khila Nangolkot Road
"Ebtediya Madrasha infront of Maji Bari, "
"Bappi Medical, "
"Shaheed Tareq Huda Hall Canteen, "
"Mohakhali Kaca Bazar, "
"Spondon Audio Visual Center, "
"Park, "
Sutang-Lanchand Bagan Road
"Rupaspur Road, "
"IRBAs Tree, "
"Krishnapur Govt. Girls' High School, "
"Jubaidia Mohila Alim Madrasha, "
"Molla Medical Hall, "
Nabagram Bridge
"Maligacha, "
"Darwani Pilar Bazar Market, "
"Kajal Store, "
"Sell Bd, "
"Mayer Doya Varieties Store, "
"Reba, "
Paris Furniture Road
"Moynamoti Highway Police Station, "
"Progoti Insurance Limited, "
"Baburabad south side jame mosjid, "
"Confidence BCS Center, "
"Birsrestha Motiur Rahman Govt High School, "
"Segun Restaurant, "
"Government Staff Quarter Field, "
Road 124
"Mashila High School, "
"G-mart, "
"Babugonj Medical Hall, "
"Shibchar, "
"Chandra Food Plaza, "
"BJMC Jame Masjid, "
"Pagulia Road, "
"Salauddin Auto, "
"Rupayan Prime, "
"Cheri Dental Clinic, "
"School PLayground, "
"Sumon Departmental Store, "
Sher-E-Bangla By Lane
Bandhan Paribahan
Bara Darga Bus Stop
"KutumboBadi Restaurant, "
Lane 12 East
"Shapur bazar, "
"Lata, "
"Habibur Rahman, "
"Soyad Ahmed Howladar bari Jame Mosque, "
"Cycle Repair Shop, "
Katalia Rd
"Dhurung Govt Primary School, "
"International Jute Study Group, "
"Rafia Departmental Store, "
"Cafeteria 2, "
"Shahi Darbar Masjid, "
"Probasi Hardware, "
"Islamic foundation's Moktob, "
"Barishal Rice Agency, "
"Sunamganj Technical School and College, "
Dhanmondi 4
"M/s Bismillah Steel Corporation, "
"Senior Alim Madrsha at Ahmader hat, "
"West Rajapur Government Primary School No 17, "
"Australian High Commission, "
"Noor Market, "
"Shonakandi Gram, "
"Maghabub And Brothorsc, "
"Perfect Dental - Branch 2, "
"T & T Playground, "
"Rangpur Polytechnic Institute, "
"Amin Mia Abdul Hakim Mia Jame Mosjid, "
"Prime Bank Ltd., "
"Rajshahi University Stadium, "
"Limon Medica Hall, "
"Friends Birds, "
"ITPS BD, "
"Rupsha Ghat, "
"Koborstan Jame Masjid, "
"Santahar Peaking Power Plant, "
"Popular Ideal School, "
"Makkah Gosto Bitan, "
"Dr Z H Basunia, "
"Palash Medical care, "
"Prince Restora, "
"TAC HOTEL & RESORT LIMITED, "
"Hazi Dry clean-, "
"Char Sherpur, "
"College Park, "
"Ashkona Dilarbari Jame Masjid, "
"Chittagong Cantonment Museum, "
"M Tech, "
"Modhu Bhavon, "
Road Shopan Bain house to tuhin banis house
"Salman Tea Stall, "
"Polytechnic library, "
"Kamla Pharmacy, "
Haji Chino Mia Road Aziz Moholla
"Sheikh Drugs House Korail, "
Abulpur Dhalibari Road
"Matlob Hotel, "
"Roktim Telecom, "
"CHINGRA KHALI MADHYAMIC VIDYANEKATON, "
"Deep tube well of khaser hat Mosque, "
Poliata Poraton Mosjid Road
"Cyclone Shelter Bazar, "
"Dhaka Hotel, "
"Ma Store, "
"Par Naogaon Dokkhin Para Jame Masjid, "
"Hand Wash Project Office, "
"Nadia Pharma, "
"Tangail New Bus Station, "
"Malibagh Community Centre, "
"BR 28 29 Jonok raj rice Chatal Beel, "
"Biswanath, "
"Jofi Tailors, "
Furkuti to Chandura via Madansin Baluca Danga Dukuri Para
"Janani Pharmacy, "
"Dokkhin Taluker Char Duyani Nesariya Dakhil Madrasah, "
"S. L. Pharma, "
"Chamelibag Apartment, "
"Nabab Bagicha Boro Jame Mosque, "
Nokipur Bazar Road
Cowri Danga Maddha Para Biren Sikder Er Bari Hote Shahid Shekher Barir Rasta
"Shad Furniture, "
"Tania Motor Parts, "
"JAUNIAR CHAR HIGH SCHOOL, "
"Popular, "
Salim Uddin Market Road
Ilissha road
Gabura wapda Road
"SMS Varieties Store, "
"Solna Sweets & Bekary, "
Borishailla Potti Mosjid Road
"Kalitola Krishna Mondir, "
"IT Bangladesh, "
"Upazilla Bhumi Office, "
Deyer khondo wooden bridge
"Urboshi Hall, "
"Knack Solutions Limited, "
"M. Abdur Rahim Medical College Central Mosque Dinajpur, "
"Borodol Basbari Gov Primari School, "
"Int. Hall Garden, "
"BINA mosque, "
Muslim Para road
Vulua Tannnery Goli
South Guli Culvert
"Kaiakoir Jame Masjid, "
"Dui Konna Departmental Store, "
Bogalake to Keokradong
"Niramoy Medical Hall, "
"Nadin uddin Box Vila, "
"Hashania Jame Mosque, "
"Shukria poultry, "
"The Backyard Chef, "
"Molla poultry Feed, "
"Dia Sharee, "
"Kutub shah Restaurant, "
Guniak Rd
Lalmai-Laksam Road
"ABCD Degree College, "
Haluaghat Joyrumkura Rd
"Chayolta Toli Bazar, "
"Shimuliya Ghat Market, "
Shako Shibnagor Kamarguda nodir upor
"Ankujanpara Govt. Primary School+ Cyclone Shelter, "
Jessore Chanchra Bus Stand
"Progga Pharma, "
"Nizam Hotel, "
"Dhonpur Purbo para Baitush Salam Jame Mosque, "
"Baidya Para Jame Mosque, "
"Haji Kalu Manjil, "
"Nuru Mia Market, "
"Ajgana, "
"B Block Park, "
"Mrittika Bhaban Gate, "
"BanglaLink Costumar Cear, "
"Bangladesh College of Physicians and Surgeons BCPS, "
"Notun Khoyertola Kacha Bazar, "
"Chengthi Jame mosque, "
"Modhyo Balia jame mosque, "
"Good Chef, "
"M/s Rajib Traders, "
"Santosh Fabics, "
"Appolo Pharmacy, "
"Chhatri Hall, "
"Bashna Eidgah Math, "
"Baneshwar Filling Station, "
"SEO Service Provider Company | Soft Bangla, "
"Moon Garments, "
Earthen Road Starting Point Of Ward No.02
"AAF Trishal, "
"Rabiya Pharmacy, "
"Public Library, "
"Mayer Doya Hair Dresser Saloon, "
Road 57
"MTB, "
"Nayar Hat Sabojaneen Kali Mondir, "
"Archana Sharee, "
"Jaipur Jami Mosque, "
"Lily Monzil, "
"Rustom Pur Toll Plaza Bus Stop, "
"Cookie Jar, "
"Khayer Uddin & Brothers, "
"Siddikia Super Markek, "
"Kazi Nazrul Islam Sarkari School, "
"Rupabati, "
Road of Mridha House
"Abu Sayeed General Store, "
"Aruail Bazar, "
"Aminullah Trading Corporation Filling Station, "
"Shaheb Bazar Central Mosque, "
highway to ruet connecting road
"GOVT. Lohagora Adarsha College, "
"Sathmatha Rent A Car, "
"Taki Government High School, "
"Dainick Ittefak, "
Purbo East Rasulpur Main Road
"M/S Babar Traders, "
"Shakbariya Sorbojonin Hori Temple, "
"Punchpuquria - Banduyan Road, "
"Amratola Eidgha Math, "
Rangamati Bus Stop
"Kalia Bazar, "
"Badura Hat Post Office, "
"Symphony Mobile Company Showroom, "
"Kedargonj Bazar, "
Staff Colony Path
"Pattan - Srirai Nagar Road, "
"Alipur Govt. Primary School, "
"Borai Bari Govt Primary School, "
"College Canteen, "
"Profession Book Corner, "
Kacha Road in front of santir hat
Connecting Road Hazaribag Golden City Road
"Infectious Disease Hospital, "
"Sonargaon, "
"Tasneem CHowdhury Fahim, "
"Govt. Women's College Jessore, "
A road from Noagoan to noagoan Govt. primary School soil road
"Nasir Vila, "
"Jame masjid of Ramgaji house, "
"Kursha Khagaura Madhyamik Biddyalay, "
"Sree Sree Sorbojanin Kali temple, "
"Kaji Medical Hall, "
"Badarpur, "
"Dongmari vojonkhali Gov. Primary School, "
"Rabeya Clinik, "
"Kurikahania, "
"MD.Badol, "
"Noyon bari panjkhn Mosque, "
"Anawar and Brother Filling Station, "
"Matlab Kawmi Madrashah, "
"Talukder Timber & saw mill, "
"Residence Hotel in Dhaka, "
"Habibullah Bahar College, "
"Baby Blue or Pink Bird, "
"Government College Girls Hostel, "
"Mohila College Road, "
"Uttara Sergical, "
"Bilbilas Market, "
"Bably General Store, "
"Islamic Foundation Bangladesh, "
"Bus Stand bazar, "
Brick's road insind the kashimpur village
Barry badh in front of Manu Rari house
"Balijuri Purbopara Jami Mosque, "
"Bismillah Paint, "
Hazaribag Moneswar Road
"M/s Tanjim Shoes, "
"Vasani Auditorium, "
"Side Dish international cuisine, "
"Aamchattar Kancha Bazaar, "
"Porangonj Wood Market, "
"Bodhu Boron, "
Bhatiapara Kashiani Road
Narail Kalia to terokhada Road
"Phultala Govt Primary School, "
"Hasan Medicine and Sergicla, "
"Imran Crocaries, "
"Sri Sri Norsingho Jiur Akhra, "
Govindasree Akakazna Road
"Day Care Centre Urban Child Care for Working Women, "
"Sreerampur Jame Mosjid, "
Parkola Bot-tola Bus Stop
"McKenzie, "
"Nahar Electronics & Watch House, "
"Faridpur Medical College Hospital, "
"National Trading, "
"Galachipa Khaya Ghat, "
"Kazitola Jame Masjid, "
"Boomer's cafe, "
"Dhorleshori Medical, "
"Sharfin General Store, "
"Chittagong Dry Dock Ltd. CDDL, "
"Dew B.G Shopping Complex, "
Lean 2
"Chatmohar, "
"Skaing Club, "
"South Tapurre div Tube well Government vuiyabari Tube well, "
"Fortuna Fried Chicken, "
Kutcha Road near Mannan Sheikh's House to Newari Pool
"Institute of Health Economics, "
"romjan bhaban, "
"Judge Manjil-02, "
"Tube well chokider house jame mosque., "
"Kid's Collection, "
"Khulna CMM Court, "
Road 4/A
"Momotaz Filling Station, "
"Matri Vandar, "
"Prodhan Pharmacy, "
Benaroshi Polli Road
"Shawpno Medicel House, "
Hindu Bari RD
"Sikender Hang Barir Tubewell, "
"Mosjidul Taqwa at Munsir hat., "
"Car Home Automobiles Service, "
"Shantur Dokan, "
"Deyaria Purbpara Jame Mosque, "
"Gaibandha General Hospital, "
"Metallic Science, "
"Sitai, "
"Lalmatia Mohila College, "
"Nishi Bosro Betan, "
"Lucky Pre-Cadet, "
"Cox's Bazar Stadium, "
"Four Brothers Garments, "
"Aheli Restaurant, "
Kaccha Road beside Azim Haowla Jame Masjid
"Barishal Bikash Centre, "
"Trellis Garden, "
"Central chal Rayvenda Farmer Field Club, "
"44 No Char Ganga Cyclone Center Kum Primart School, "
Salt Factory Goli
"poura masjid, "
"Sopiyea Monzil, "
"Shaan Overseas, "
Amin Bag 1 No Goli
Kutcha Road from wooden pool of Jomirtola Dakhil Madrasa to Anwar's House
"Sukonna Filling, "
"Moshaujan Jame Mosque, "
"KHADIZA KHANAM HIGH SCOOL, "
"Asraf Uddin House, "
"BITC - Barisal Information Technology College, "
"Mission Dream Palace, "
"Anik Plaza, "
"Shaheed Zayan Chowdhury Playground, "
"Gatti, "
Bittipara Bazar
"Janpur Shahi jame mosque, "
"Captain's World, "
Lutfar Nahar Lane
East Dorgah Gate
"Rohoman Medicine Point, "
"Tapurre Primary Girl School, "
"TMSS Utpadon Foods, "
"M/s Goni Traders, "
"Shilakotha High School, "
"Youth Training Centre, "
"Shapla trading, "
"Horinagor Mosque-01, "
"Jamila Manji, "
"khokon er bari, "
Sagorpara
"Metlife alico, "
"Bamoil school & College, "
"Rashida, "
"ISLAMGONJ JANATA HIGH SCHOOL, "
"Emamgang Jame Mosque, "
"Nasima, "
"Mermaid Cafe, "
"Gopinathpur, "
"Dhubarua, "
"Abakash, "
"CHAR KOLAKOPA GOVT. PRIMARY SCHOOL, "
"Hasan Rice Agency, "
School RD
Joy Nagar ferry Ghat Road
Nasir gos house ar pesone kasa road
Hazir Ghat Goli
"Mirjapur Madrasa, "
"Brother Optics, "
"Aprajita, "
"Bakerganj Bus Stop, "
"Basanta Junior High School, "
"M I Steel Corporation, "
Baganbari Zame Mosjid Road
"Greater Flamingo, "
"Bissow Tea Store, "
"Diloyar Store, "
"Optical Palace, "
"Computer Planet, "
"Mohammad Pur Ali Bazar, "
Wooden Pool infront of Montu Hawladar
"Majkandi Bazar, "
"Entrance Gate, "
Shonapotti
"Balaka, "
"Dhaka Hotel and Restaurant, "
Daud er Bari Hoite Kadeo Ha: er Barir Road
"Nakla Police Station, "
"Vision Eye Hospital, "
"Moon Light Pharmacy, "
"G-11, "
"Medona Dental Clinic, "
"RASULPUR ADARSA HIGH SCHOOL, "
"RAMGOTI B.B.K. PILOT MODEL HIGH SCHOOL, "
"Polashtoli College, "
"Doctor's hospital OS, "
"Puos Cosmetic, "
"Shahjalal Islami Bank Limited, "
Manikganj
"Shahi Eidgah, "
Haspital Road
"Waterpolo BD, "
"Mastermind School, "
Gias Uddin Gali
"Barguna DKP School, "
"Foreign Furniture Gallery, "
"Kabir Shishu Shikkhalay, "
"Ajij Vadri Secondary School and Shelter center, "
"Paglanath electronic, "
"Rajbari Lounch Terminal, "
"CCPC Playground 1, "
"Le Reve, "
"Musa Bearing Center, "
"Kornio Medicine, "
"Zilla Parishad Community Centre, "
"Mamun Cycle Store, "
Katcha road at Char Anda
"JR ELECTRONIC, "
"MEHEDI TeLecom Mobile Service, "
"Matri Bhandar Hotel and Sweets, "
"Sri Sri Karunamoyee Kalibari, "
"Rani Villa, "
"Heaven for photograhy, "
"DTD IT Support, "
"Chairman Bazar Darus Salam Jame Mosque, "
"Mirgonj Jame Mosque, "
"Baytul Alam, "
"South Dubai Bazar, "
Shamsur Rahman Road
"City Corporation Library, "
"KANAIGHAT PUBLIC HIGH SCHOOL, "
Shaheed Saiful Alam Sarak
"Meyor shaed khokon community center Gandariya dhupkhola Dhaka -1204, "
Dewanganj-Modhupur Road
"Proposed Plot, "
"Horichar Temple, "
"Hotel Plaza, "
"Vespa Corner, "
"Fresh' Bogra Depot, "
"Russelpul Enterprise, "
Road beside Samsu Sardar
"Hatkhali, "
"North Borober Jami Mosque, "
Kalugaji house from switch road
"khorolkathi bazar, "
"Salim Haldar Jame Mosque, "
"Tarana, "
"Khulna House Building & Finance Corporation, "
"Postal Academy, "
"Anjally Pharmacy, "
"Hafez Bari Madrasah, "
"Sonargaon Community Center, "
"Arunima Filling Station, "
"Khila Bazar, "
"Soil Resources Development Institute, "
"Premjoy, "
"Bismillah Sanetary, "
"ISKON Temple, "
"Market Square, "
"Marcantile Bank atm, "
Dainik Bangla Mor Bus Stop
"Poschim Kafrul Wakf Jame Mosque, "
"West Dhanmondi Yusuf High School, "
"Borishal Medicine, "
"Sharif Gift Centre, "
Farukh Road Junction
"Satgaon Bus Stop, "
"Sylhet police Lines Mosque, "
"model jame mosjid, "
"Udvash, "
Lakma Road
"Bangladesh Bank Adorsho Uccho Biddaloy, "
"Laxmipur Mohammadia Jame Mosque, "
"Nurjahan Metal, "
"Paradise Bhuiyan Centre, "
"Abdullah Traders, "
"Adip Supper Market, "
"Markuli, "
"Mohakhali D.O.H.S. Mosque, "
"Malkhanagar University College, "
"Barabaria, "
Shoda Kal Bridge
"M H Auto Gas Filling Station and Conversion Center, "
"Messrs Jokigonj Pharmacy, "
Kuwaiti Masjid Road
"Bunagati, "
"Abul Hossain Tarun Auditorium, "
"Zooti Hostel, "
"Heliboard Jame Masjid, "
"Akhon Bari Jame Mosque, "
"Banana farm of Nasir Fokir, "
Nadur Goshti Road
"Oxford Academy, "
"Bishwas Pharmacy, "
"Pan Pacific Sonargaon Hotel Dhaka, "
"Al forkan high School, "
Bridge Ashit mondal ar bari songlogno
"JAMUNA MOTORS, "
"City Hut, "
"Ataikula Church of Fallowship, "
"professor kamal uddin chowdhury college, "
"Al-Madina General Store, "
"Jahan Ara Clinic, "
"Nuhash Varieties Store, "
Mohammadpur Bus Stand
Birgram Bus Station
"Sanuar Medical Hall, "
"Department of Statistics Bio-statistics and Informatics, "
"Charaljani Government Primary School, "
"Karmiya Nurani Madrasha, "
"Gayeshpur, "
"Government Titumir College, "
"Kawamara, "
"Appartments for the Poor, "
"Khan Polli Jame Masjid, "
Jogonnath Saha Road
Shahid Moinul Road
"Azad Super Market, "
"City College Mosque, "
2 No. And 1 No. Ward Connection Kacha Road
"Goytapara BGB Jame Mosque, "
"Pangsa, "
"RSL Library and Stationary, "
"Mizan Cycle Store, "
"Urban Scotia Garden, "
Narinda Monir Hossain Lane
"Gopalganj, "
"Andeli, "
"Shayesta Khan Mosque, "
"Broadbank Clinic Quatere, "
"Bata Ground Floor, "
"Akib Cosmetics, "
"Building No:13, "
"Hayatkhali Bazar, "
"Green Hill, "
"doriabad jame mosque, "
"R S Auto Parts, "
CDA Road 1
"Basliyea House, "
Hajikhali Rd
"Suihari Catholic Church, "
Road 37
"Shah Ali Market, "
"LOTTO, "
"Jehadi Jame Masque, "
"A M BADRUZZAMAN HIGH SCHOOL, "
"Dulai, "
"Shahin Hotel & Resturent, "
"Green Grocer, "
"Sayed Pharmacy, "
"Al-Madina Prepaid Centre, "
Road 11 Block F
"Patharsi, "
"Mustafapur, "
"VISION Exclusive Showroom, "
"Milon Bazar Jame Mosque, "
Madargong Road
"Noakhali Govt Girls High School, "
"Brack Vashoman Shikkha Tori, "
"Dhaka Awami Jubo League North, "
Chittagong- Khagrachhari Highway
"Active International, "
"Ovi Pharmacy, "
"IQBAL & SONS, "
Culvert Road
"Shimla Ait No. 127 No. Khajurardanga Sar: Primary School Kam Cyclone Center, "
"Mohastan Filling Station, "
"Bunniltola Primary School, "
"Jamia Medical Hall, "
Dhaka - Comilla - Chittagong Bypass Road
"Companiganj Bodiul Alam High School, "
"Sundarban Re-Fueling Station, "
"Optora, "
Kasha Potti
"Meher Vabon, "
"Magura Deluti Jami Mosque, "
"Fahim Cosmetics, "
"Chuadanga Bus Stand Drug House, "
"Radhuni Restaurent, "
Rupsha Approach Rd
"M.G. Secondary Girls School, "
"Deyaria Zakaria Shikkha Niketan School., "
"Dutch-Bangla Bank Limited Fast track, "
"Buy & Win, "
"Datter Metho Purba Para Post Office, "
"Bahadia Imamnagar High School, "
Gozmohol Chipo Goli
"Somurtajahan College, "
"Bola Vai Briyani House, "
"Betel nut garden Abdul ali house., "
"Nonni High School, "
"Companiganj Sylhet, "
"Khanas, "
"Sheikh Hasina House Tutor Building, "
"Jessore Cantonment College, "
"Hiron Point Lighthouse, "
"Miya Market, "
From the main road to the Kamalapur Nimgachh road
"Petrapole, "
"BHOLA TOWN SECONDARY SCHOOL, "
"Bhanga Pourashava Office, "
"Shohag Garments, "
"Akboria Grand Hotel, "
"Siam Motors, "
Sopno goli
"Bainchotki Ferry Terminal, "
"Parjoy nogor eid gha, "
"Sarkar Pharmacy, "
"Sabina Store, "
"Altaf & Son's, "
"Kotalipara Upazila Health Complex, "
"Police Line's School and College, "
"Lemon Garden Resort, "
"Shariat Store, "
"LCD Computer Center, "
"ambagicha playgroung, "
"41 no kandrakpur government primary school, "
"New Orient Restaurant, "
"Khorki Kharhir Matha Bazar, "
"Riya Fharmacy, "
Bhaberchar - Lakkhipur Rd
"Ryans IT Ltd, "
"Baniachang Govt. Girls High School, "
"Angarupa Jewellers, "
"Clothing Shop, "
"Habiganj Bypass Road, "
Tafal Baria Road
"Bismillah Rice Agency, "
Kaderabad Housing Goli
Semi Paka Road Inside The Chowdhury Kachari Bridge
"HBFC Building, "
Meghla Transport
"Chakta Bari Govt Primary School, "
"Taj Iron Sotre, "
"Ankujanapara Govt. primary school, "
SP Bridge
Kach Rasta Hemanshu roy house to Feroj member
"Achol Fashion, "
Murshibari Road
"CHARMAHALGIRI JUNIOR SCHOOL, "
"Abedaa Manjil, "
"Haque Automobile, "
"Rice Bazar, "
"New Puspo Funiture, "
Pallabi 2nd link
"Ramkrishnapur Community Clinic, "
"Spark Gear, "
Road # 13
"Rana Misti Ghar, "
"Hazi Vila, "
Rasel House road- Rowmari Dantbhanga Road
"Manhattan Hotel, "
Hasanpur Talpukuria To Kachari Bazaar Road
"Vauksar Primary School, "
"MTB Gournadi Branch, "
Hazi Fayez Ahmed Road
"Animal Resource Research Center, "
"Mamun Mobile Store, "
"Bismillah Metal Legar Cutting, "
"Upazila Shilpokal Auditorium, "
"Pancha Bhai Medical Hall, "
"Mirpur Runners Point National Botanical Garden, "
"V I P Hotel Natore V I P Hotel, "
"Charfasson Govt College, "
"Bangladesh Bank Colony & School Playground, "
"Beauty Porda & Beding Store, "
"Border Guard Public School & College, "
"Saheda Cottage, "
"Dhusohati Govt. Primary School Playgraound, "
primary school road
"Jame mosjid of Kasem kord bari, "
"Maliker Ber, "
"Baitur Rahmat Jame Masjid, "
"Dr. Refayetullah Eye Care Center, "
"Charghat Paurashava Building, "
"Ochkhali Bazar, "
"Antabunia Post Office, "
Fakirhat Amtali road
"Ahasan Society, "
Hason chokidar house road
"Notun hat bazar, "
"Pal Bazar Bridge, "
"Deep Tubewale in front of Bokshi house Mosque, "
"Tetlark Petwell Clinic, "
"Bauphal daspara model primary school, "
"RK Mission Road, "
Munshiganj-Sirajdikhan Road
"Stylen, "
"Mojid Bhaban, "
"1-99 Shop, "
"Ma Nersing Home, "
Bangladesh Oil Company Circle Bus Stop
"Sonka Junior High School, "
"Samir Aluminum Fabricators, "
"Dabirganj Purbapara Masjid, "
Bepari Vanga Pul Theke Mojidul Beparir Bari Porjonto Eit Solin Road
"Hat Bazar Super Shop, "
Kacha road borogao
"MENZ Point, "
"Munnaf Medical Holl, "
Kutipara Road
"Pizza Hut, "
"Mujibnagar Post Office, "
"Safayet Block Print, "
"Tecnical Training Center TTC, "
"Shaheed Bir Uttam Lt. Anwar Girls' College Field, "
"Purba Chorkholifa Haque Jahan Baitul Aman Jame Mosque, "
"Munsef Bazar, "
"JMG Furniture and Decor, "
"Dalas Filling Station, "
"UCB Bank ATM, "
"Shayesta Monzil, "
"Raozan, "
"Kazi Nazrul Institute, "
"Raju Mobile, "
"KM Metal, "
Mayor Goli
"Comtrade, "
"Ashiyan City Football Playground, "
"Moid Medicel Store, "
"6/5, "
"The Mobile Channel, "
"United Apparels, "
Islam morol der goli
road9
"ambagicha jame mosjid, "
"Nekmarad Bangobondu College, "
"Radhika Cloth Center, "
"Hossain Villa, "
"Tarakandi Uttar Para Mosque, "
"Zamadar Para Mosque, "
Sagordeghee-Sokhipur Road
"Baitus-Saraf Jame Mosque, "
"Kashem Pharma 2, "
Bhatiapara Boalmari Road
Sharaspur Road
"Mridha vobon, "
"Sinan Shoe, "
"Hazi Hasan Ali Bepari Bari Mosjid, "
Kalabagan Bus Stand
"AD Field, "
Beauty Cinema Hall Road
"Be Rich Limited, "
"S Drug House, "
Faridpur - Rajbari Highway
"Sri Sri Hari Gopal Chand Temple, "
"Chowdhury House, "
"Baroghoria Old Waqtia Mosque, "
Mostofa miya dokaner samne brije
"Babe jannay Dewanbag shorif, "
"Meherun Nisa Dipa, "
Boro Bazar Road
"Al Kaderia Restaurant, "
"Komolpur Bazar, "
"Krishnapur Dakhil Madrasa, "
"Monica Benaroshi Sharee, "
Sluice
"Aman Bazar Jame Mosque, "
"Zaman CNG Filling Station Limited, "
"Grand Restaurant, "
"Five Star Math, "
"1 To 120 Market, "
"Health Care, "
Lane 1
"Sukur Majhi Barir Tubewell, "
"A.E.R.E School Building, "
"Baby, "
"Gana Unnayan Kendra GUK, "
"Rotary School, "
"Dr. Chadat Ullah National School, "
"Cormulla Bazar, "
Bogra - Rangpur Highway
"Zanala Bangladesh, "
"Baoxi Kafei, "
"Jakir books House & Telecom, "
"Nusrat Jewelry, "
"Motortol Bazar Bordain Chauddagram Comilla Shopping Mall, "
"Zia Park, "
"Agora, "
"Parade Textile, "
"Ittadi Pharma, "
Hetalkhali Road
"Boleya-, "
"Bank Asia ATM, "
"Kordo bari jame mosjid, "
"Joti Pharmacy, "
"Shree Shree Hari Takur Temple, "
"Baikali Park, "
"Community Jame Mosque, "
"New Bismillah Hardware, "
"Sarail College, "
"PTI Hostel Female, "
"Coffee N Cream, "
"Divisional Pasport And Visa Office, "
"West Bhadur Jame Mosjid, "
