en_phrases
"Baitut-lalele Zome Mosque, "
"Deep tube well of Siddik Mia house, "
"University Of Development Alternative, "
"Nandanpur Radharani Girls High School, "
"Hazrat Shah Paran School Market, "
"Al Madina Medicine Corner, "
"Landa Mart, "
"Younique Style Salon, "
"A. K. Traders, "
"Hyperion Green Park 1, "
"Rohanpur Animal Hospital, "
Road 23C
Road 119
From the main road to the Panna Hati road thruogh Dulals house road
"Mahmuda, "
"Mollah Tok Doi, "
"Hatirjheel Link Road, "
"Window@85, "
"Baragangdia Girls High School, "
Tangail - Basail Road
"Ahsanullah Hall, "
"Comilla South, "
Shayestaganj - Dewndi Rd
"Raju Kunja, "
"Kartikpur Shantipur Eidagh Math, "
"German Club - Rest House Society, "
"G.N. Timber and Door Ltd., "
"Tce time, "
"Dhaka Clinic & Nursing Home, "
"Zexo IT, "
"Jasim Hotel, "
"Mansur Market, "
"Papri Restaurant, "
"Sonika Pharmacy, "
"Shahidbag Mosque, "
Akbar Shah Rd
Shehora Bara Bari Rd
Sumiya Hotel Goli
"Harishangkorpur Bazar, "
Khan Bhari Road
"Joymoni Bazar, "
"2 No Primary School, "
"Sheikh Kamal International Stadium Nilphamari, "
"Nabinagar Central Jame Masjid, "
"Nishita Foods, "
"Janasheba Pharmacy, "
"Akber Medical, "
"ChotoMonohoria Kali Mondir, "
"Shoe Store, "
"Lalbari Mosque, "
"The City Bank Limited Pallabi Branch, "
"Sterling High School, "
"Vagba darul shunnah madrasa, "
"Happy Arcade Shopping Mall, "
Entry Road to the Stadium
"Shahi Khawar Dokan, "
"Hafiz Electronics, "
Cox's Bazar Main Road
"Nur Animal Health Care, "
"Md. salim Bhuiyan, "
"Palashbari, "
"Hatirjheel Traffic Police Box, "
"Sakhipur, "
"Jonny Poultry, "
"Ummahatul Momining Mahila Madrassa, "
"Sinha High School, "
KhanJahan Bazar Theke Masjide Ekor Er Rasta
Chandarpur Mathiura Road
"Health Home Private Clinic, "
"Baytur nur, "
"Fabric Shop, "
"Laram, "
"Morolbari Govt Primary School, "
"SoftTech-IT LTD, "
"BGB 5 Gate Water Point, "
"Saleha Monjil, "
"Al Ameen medical Hall, "
Noapara Bypass Road
"Batikamara School, "
"Government Primary school cum Cyclone center 99 no, "
"Lalmonirhat Majar, "
"Seba Library, "
jamial Uttarpara Road
"South Haridanga Masjid, "
Nazipur Bus Stand
"Katirhat Fish Market, "
"Oiyeeshwarjo, "
"Reb 5mva substation khajura, "
"Genius Coaching Home, "
"Yudd Design Source, "
"Mayer Doa Cosmetics, "
"KJ Hall Masjid, "
Bangabandhu Road
"Kawsar Pharmacy Korail, "
"Navana Kazi Richmond, "
"TV Net Work, "
Sikaitola Road
"Arial Bazar, "
"Gate No-2, "
"BRIGADIAR MOJUMDER BIDYA NIKETON HIGH SCHOOL, "
"Shotota oil Filling Station, "
Seamens Hostel Bus Stop
"Ali Hossain Rd, "
Paira Bridge
"Marcel, "
Sharifpur - Rampur Road
"Messrs Keya Enterprise, "
"Dainik Korotoa, "
"Elite Business Association, "
"Tafalbari Govt Primary School, "
"Star Tech, "
"Australian Club, "
"Shahin store, "
"Mehedi Hasan Electronics, "
"Alamdanga Degree College Swimming Pool, "
"Khulna Kotowali Thana, "
"Shashidal, "
Road of Akhon house
"Moon Filling Station, "
"salim hall, "
"Mohona Dedicine, "
"Laki varity store, "
"Paschim Chapa Chori Government Primary School, "
"Gafargaon Upazilla Health Complex, "
Muktijoddha Shoroni
"Microtop System, "
"Joy Petroliam, "
"Rana Plaza Collapsed, "
"Five Ster Resturent and Berani House, "
"Kebab on 7, "
"Lab Zone Hospital, "
"Market beside Tulatuli Embankment, "
"Litu Pharmacy, "
"Bismillah Hotel & Restaurent, "
"Tuskhali, "
"Hotel Naz Garden, "
"Masum-Mamun Store, "
"Shah Jahan Medical Hall, "
"Sharighat Madrasa Masjid, "
"Ronggon, "
"Singer Showroom, "
"Ayesha Sergical, "
"Mongla Banishanta Boat Ghat, "
"Bamboo Market, "
"Ahammadabad Road, "
"Community Eye Hospital, "
Eskaton Garden Road
"ukhiya Bazar, "
"World Optics, "
"Fultola Sarbojonin Temple, "
"Food Heaven, "
"Ciam School, "
"Juthi Store, "
"New Salam Automobile Workshop, "
"Public Cadet School, "
"Orna Palace, "
"P.D.K. Secondary Girl School, "
"Bahalbaria Bazar, "
"NCC Bank Ltd, "
"Darbasta Eidgah, "
"B S Automobile, "
Porbocor
"Jannat Electronics & Hardware, "
"Clasic Tailers, "
"Kikabe, "
"Begum Fouzunnessa Chowdhurani Hall, "
"Gangail, "
"Best Collection New Market, "
"Sarkar Hospital, "
"kashinathpur drugs, "
"Khuina Ticket Caunter, "
"laundrette, "
Road of Bakli house
"Banglar Shova, "
shoper shop shako
"Gouripur Junction Bus Station, "
"Gawair Adarsha High School, "
"Chatmohar Upazila Health Complex, "
"Panna Cycle Store, "
kalirhat rod
"Campus Dine, "
"amir mansion, "
"Shopno Pharmacy, "
"Ripon Electronics, "
"Hardware shop, "
Boro Kalia Road
"Hazrat Shah Ali Hotel, "
"Nur-Jahan Jame Mosque, "
"Banishanta Baitun Aman Jami Mosque, "
Hossainpur Baily Bridge
"Asia Medical hall Bagerhat sadar, "
"Jamuna Bank, "
"STAR mosque, "
"Jessore Eidgah, "
"Netar Bazar, "
"Lal Shalok Hotel & Restaurent, "
Mostapur Road
Front Road
"Pal brothers, "
"Ratul Sanetary, "
Dhap BRTC
"VIP Plaza, "
"Fatema Travels, "
"Samdul Vai er Tubewell, "
"Land View Shopping Center, "
Vojohori Street
"Oishi Steel Corporation, "
Noor Box Lane
"Jahed Memorial Information Technology, "
"Jenteel View, "
"Artistic Bangladesh, "
"Modina Door & Furniture, "
"Bikrompur Mistanno, "
"Lauhati, "
"Megamart Office Equipment BD, "
"M/S Day-Night Pharmecy, "
Mistripara Main Road
"Sikder Ghata, "
"Talimul Kur'an Madrasa, "
"Main gate, "
Rd No. 2
"Janata bazaar Masque and Madrassa, "
"Vuiya Fashion, "
"Sujon Medical Hall, "
"Sonapur Bazar, "
Naragati Rd
"Sufia Pilot High School, "
"Ashiyan City Football Field, "
"SATU Head Office, "
"Hamid Vila, "
"Habiganj Main Post Office, "
"Akash Hair Saloon, "
"The Child Care Center, "
"Dutch Bangla Bank ATM Booth, "
"OK Tailors & Fabrics, "
"Motaleb Villa, "
"Natunbag Jame Masjid, "
"Hafij market, "
"Nawapara Jam E Masjid, "
"Babul Telecom, "
"Burir Bazar, "
"Cafeteria, "
Nayer Kura Bridge
"FRESH VILLA Meghna Group of Industries, "
Comilla-Chandpur Highway
Dhakanagar Lane
"Kochubuniya Community Clinic, "
"Modina Biryani House, "
"Public Hall Netrokona Pourosova, "
Nababerbag Road
"Dudok Canteen, "
"Birampur Town Hall, "
"Sangkha Cinema Hall, "
"md Jason hawlader, "
